Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
Fabp2	0.2023197598513438	-0.5398999999415838	0.8867753715992985	0.48511217652811683	0.6003745106059128	FALSE
Mtmr10	1219.0238135886561	-0.5400872201676111	0.12012463070557121	5.592723622050335e-6	2.624349530047726e-5	TRUE
Igfn1	148.25912080814723	-0.5403533132777675	0.4958812554083198	0.19445337534926246	0.2943853312360943	FALSE
Lman1l	6.3015765021749885	-0.5403613678421458	0.3838840767301692	0.11639325057860854	0.1936885251724505	FALSE
Mecom	133.993659232493	-0.5403918076824644	0.24905305197331942	0.023515203030434705	0.049843250272478615	TRUE
Abhd4	3161.2996640826	-0.5405112213040408	0.09083328551004907	2.0179223986553947e-9	1.5722804610641412e-8	TRUE
Prnd	2.7709415266141115	-0.5405711734078159	0.7231079758755211	0.26509028000011586	0.3781740284560662	FALSE
Nt5dc3	8110.84479515976	-0.5407430322448314	0.3494278165622879	0.08369694365645906	0.14707213912551328	FALSE
Ermardl1	84.97208515786956	-0.5408732015587883	0.11673867178877342	2.8640085033266033e-6	1.4150834136786586e-5	TRUE
Ifnar1	2229.3795844519977	-0.5410422703470606	0.07414824562879067	2.3572090392846853e-13	2.8117158006892867e-12	TRUE
Gm23205	9.465464192573439	-0.5412261485453461	0.19043155561678118	0.0033969949454251036	0.00900283402203038	TRUE
Gprc5c	137.40466404409585	-0.5421915560951092	0.23873485837456737	0.018246219452436634	0.04001550458780295	TRUE
Copz2	229.24010093104457	-0.5423322336564325	0.24467549456509327	0.020925228994018403	0.045054989099354965	TRUE
2310057J18Rik	3.4294161485789765	-0.5426431317021744	0.29300846499126976	0.046912850142375805	0.08993820310874899	FALSE
Gm14249	0.17517104776959935	-0.5434966917386982	0.8922106018704219	0.5283039381392414	0.6394930268673781	FALSE
Gm3173	16.001869327802012	-0.5435289206203112	0.4532435519685455	0.16509148599306137	0.25824494310518364	FALSE
Ccdc50	3367.160701079155	-0.5436458498014574	0.10628046954735562	2.500395005827955e-7	1.4787563968463913e-6	TRUE
Ednrb	2948.138496811195	-0.5436547026441887	0.11789169688485189	3.2205218761463254e-6	1.578454177629347e-5	TRUE
4931431B13Rik	4.1231561865163835	-0.5437296035697261	0.30928480948033604	0.05640195681173473	0.10533963480636645	FALSE
Dmp1	178.2701498962972	-0.5440054576205916	0.1803813135126458	0.0020630253460771934	0.00577381164035982	TRUE
Ptar1	2597.0776702028556	-0.5440336521386533	0.12548686783421362	1.0277427656321978e-5	4.609023167423044e-5	TRUE
Col5a2	508.43479157862663	-0.544437191488417	0.3341477646976666	0.07869213038686715	0.13967992328712053	FALSE
